NGC0613     23.575714 -29.418573  4.0 25.1    5.3 13.45 0.01 12.92 0.01  9.517 0.001 0    AIS_407_50407_0001_sv28/AIS_407_sg28                            AIS    149.40   149.40
UGC01133    23.761422   4.381263  9.9 25.2 -999.0 16.08 0.22 16.18 0.16 15.871 0.005 0    AIS_266_50266_0001_sv52/AIS_266_sg52                            AIS    108.00   108.00
NGC0615     23.773623  -7.340295  3.0 27.1    2.8 15.56 0.01 15.12 0.01 11.203 0.001 895  AIS_269_50269_0001_sv25/AIS_269_sg25                            AIS    197.15   197.15
PGC090553   23.881430   2.031580  7.6 46.6    0.5 17.61 0.02 17.21 0.01 16.407 0.013 0    AIS_266_50266_0001_sv64/AIS_266_sg64                            AIS    248.00   248.00
NGC0628     24.173866  15.783626  5.2  9.1    1.1 11.73 0.03 11.33 0.02  9.074 0.001 0    GI3_050001_NGC628_23041/GI3_050001_NGC628                       GII  12004.60 12004.60
PGC006048   24.500044  -7.566303  3.9 25.9 -999.0 16.64 0.04 16.21 0.01 14.964 0.002 0    AIS_269_50269_0001_sv35/AIS_269_sg35                            AIS    154.05   154.05
UGC01176    25.040550  15.904700  9.9  9.2    0.2 15.51 0.06 15.16 0.06 14.425 0.065 0    GI1_047008_UGC01176_21287/GI1_047008_UGC01176                   GII   3197.05  1693.05
PGC006190   25.116072  -5.520401  6.8 29.8    2.5 16.62 0.01 16.20 0.01 14.785 0.014 0    GI1_009012_HPJ0140m05_21046/GI1_009012_HPJ0140m05               GII   3432.25  2506.20
PGC006228   25.279657  -5.568173  8.7 21.6    0.4 15.60 0.01 15.29 0.01 13.689 0.004 0    GI1_009012_HPJ0140m05_21046/GI1_009012_HPJ0140m05               GII   3432.25  2506.20
PGC006244   25.399591 -16.146945 10.0 21.7 -999.0 16.27 0.01 16.03 0.01 15.144 0.029 0    AIS_272_50272_0001_sv80/AIS_272_sg80                            AIS    176.00   176.00
NGC0658     25.540183  12.601835  3.0 38.8    4.4 15.14 0.01 14.73 0.01 12.222 0.001 0    MISDR2_17207_0426_04655/MISDR2_17207_0426                       MIS   1582.35  1582.35
UGC01195    25.612959  13.977811  9.8 10.8 -999.0 15.08 0.01 14.71 0.01 13.633 0.007 0    GI1_047009_UGC01195_21288/GI1_047009_UGC01195                   GII   3370.25  1693.05
UGC01197    25.638084  18.306007  9.8 36.1    1.2 16.76 0.03 16.37 0.04 14.983 0.005 917  AIS_183_50183_0001_sv63/AIS_183_sg63                            AIS    186.00   186.00
UGC01200    25.701230  13.155990  9.9 10.8 -999.0 15.56 0.01 15.27 0.01 13.883 0.001 329  MISDR2_17207_0426_04655/MISDR2_17207_0426                       MIS   1582.35  1582.35
ESO245-005  26.266050 -43.598540  9.9  4.2    0.5 13.75 0.01 13.60 0.01 13.738 0.001 235  GI1_047011_ESO245_G005_21291/GI1_047011_ESO245_G005             GII   2434.05  2434.05
UGC01240    26.585806   4.264288  7.9 24.0 -999.0 16.53 0.01 16.21 0.01 15.411 0.003 0    GI3_089004_UM133_23401/GI3_089004_UM133                         GII   1691.05  1691.05
IC1727      26.874450  27.333330  8.9  6.8    0.4 13.54 0.01 13.26 0.01 12.298 0.001 330  GI1_047012_IC1727_21292/GI1_047012_IC1727                       GII   3108.60  1531.60
NGC0672     26.976993  27.432764  6.0  8.0    1.1 13.24 0.01 12.82 0.01 11.037 0.001 330  GI1_047012_IC1727_21292/GI1_047012_IC1727                       GII   3108.60  1531.60
PGC006626   27.107385 -12.381307  9.9 19.8 -999.0 15.07 0.01 14.86 0.01 13.825 0.001 0    AIS_272_50272_0001_sv08/AIS_272_sg08                            AIS    104.00   104.00
NGC0676     27.238619   5.906035  0.0 19.5 -999.0 16.84 0.04 15.43 0.01 10.611 0.001 0    NGA_NGC0693_05025/NGA_NGC0693                                   NGS   1718.05  1718.05
PGC006703   27.407478 -13.571143  3.1 19.3 -999.0 16.73 0.01 16.34 0.01 14.557 0.001 0    HRC_RXJ0152m1357_css24158_52386/HRC_RXJ0152m1357_css24158       DIS   1528.05  1528.05
PGC006706   27.417532 -12.824585  9.0 21.0 -999.0 17.29 0.03 16.97 0.01 15.085 0.004 0    AIS_272_50272_0001_sv09/AIS_272_sg09                            AIS    307.00   307.00
NGC0693     27.628478   6.145309  0.2 20.8    0.1 16.28 0.01 15.44 0.01 11.694 0.001 900  NGA_NGC0693_05025/NGA_NGC0693                                   NGS   1718.05  1718.05
NGC0691     27.673772  21.759990  4.0 36.9    2.5 15.41 0.03 14.83 0.03 11.401 0.001 916  AIS_183_50183_0001_sv59/AIS_183_sg59                            AIS    120.00   120.00
ESO245-007  27.774822 -44.444637  9.5  0.4    0.0 16.39 0.01 15.28 0.02 13.883 0.027 222  NGA_Phoenix_05026/NGA_Phoenix                                   NGS   1696.15  1696.15
IC0167      27.785705  21.912753  5.0 27.7    5.8 15.03 0.02 14.76 0.01 13.554 0.003 916  AIS_183_50183_0001_sv59/AIS_183_sg59                            AIS    120.00   120.00
PGC006864   27.868460  -6.516583  6.9 44.4    2.1 17.03 0.14 16.60 0.05 15.450 0.010 0    AIS_269_50269_0001_sv63/AIS_269_sg63                            AIS    237.00   126.00
NGC0718     28.305342   4.195761  1.0 21.4 -999.0 18.00 0.16 16.43 0.03 11.326 0.001 0    AIS_266_50266_0001_sv87/AIS_266_sg87                            AIS    298.00   298.00
NGC0723     28.440354 -23.757733  3.8 19.8 -999.0 15.02 0.01 14.73 0.01 12.736 0.002 0    AIS_277_50277_0001_sv69/AIS_277_sg69                            AIS    264.05   264.05
PGC007109   28.720010 -13.653930  9.0 25.6 -999.0 16.78 0.50 16.73 0.01 13.961 0.002 0    AIS_273_50273_0001_sv24/AIS_273_sg24                            AIS    297.05   297.05
ESO477-016  29.066558 -22.900982  4.2 36.8    6.0 16.74 0.07 16.40 0.02 13.990 0.001 0    AIS_277_50277_0001_sv59/AIS_277_sg59                            AIS    318.00   147.00
NGC0755     29.094460  -9.061430  3.4 20.2    2.3 14.74 0.01 14.42 0.01 12.584 0.002 898  MISDR1_17981_0665_03712/MISDR1_17981_0665                       MIS   1634.70  1634.70
PGC007324   29.246100 -11.780550  8.0 25.7    4.1 16.30 0.01 16.01 0.01 15.203 0.002 897  AIS_273_50273_0001_sv06/AIS_273_sg06                            AIS    242.10   242.10
NGC0772     29.831391  19.007664  3.1 30.3    7.2 14.04 0.03 13.41 0.02  9.829 0.001 0    NGA_NGC0772_05028/NGA_NGC0772                                   NGS   1702.05  1702.05
NGC0779     29.927683  -5.964238  3.0 17.7    1.9 15.00 0.01 14.44 0.01 10.705 0.001 893  AIS_269_50269_0001_sv72/AIS_269_sg72                            AIS    485.00   485.00
PGC007654   30.229110  -8.840880  9.9 21.4 -999.0 16.47 0.01 16.30 0.01 15.174 0.001 0    MISDR1_17980_0665_03711/MISDR1_17980_0665                       MIS   1631.00  1631.00
NGC0784     30.320550  28.837250  7.9  4.6    0.9 13.95 0.01 13.49 0.01 12.329 0.004 332  GI4_095004_NGC0784_24144/GI4_095004_NGC0784                     GII   2268.60  2268.60
PGC007682   30.376402  -7.291995  1.0 32.8 -999.0 16.74 0.01 16.30 0.01 14.501 0.007 0    MISDR1_17979_0666_03714/MISDR1_17979_0666                       MIS   1659.00  1659.00
UGC01547    30.835402  22.041543  9.9 35.1 -999.0 15.01 0.01 14.91 0.02 14.426 0.002 0    AIS_178_50178_0001_sv12/AIS_178_sg12                            AIS    332.15   332.15
UGC01551    30.906525  24.075191  6.1 35.6 -999.0 15.03 0.01 14.82 0.01 13.201 0.004 0    GI1_047013_UGC01561_21293/GI1_047013_UGC01561                   GII   1696.00  1696.00
NGC0803     30.936258  16.031049  5.3 24.7    4.3 15.04 0.01 14.72 0.01 12.260 0.001 925  AIS_184_50184_0001_sv34/AIS_184_sg34                            AIS    643.10   545.05
PGC007900   31.130830  -6.199099  9.0 22.0    4.8 14.84 0.01 14.63 0.01 14.069 0.010 0    AIS_269_50269_0001_sv81/AIS_269_sg81                            AIS    221.00   221.00
PGC007998   31.455260  -9.821943  9.0 25.3 -999.0 15.66 0.01 15.56 0.01 15.376 0.014 0    MISDR1_18084_0666_03718/MISDR1_18084_0666                       MIS   1637.25  1637.25
IC0210      32.367652  -9.679930  4.1 25.5    1.0 16.40 0.02 15.97 0.01 11.757 0.001 897  AIS_273_50273_0001_sv18/AIS_273_sg18                            AIS    213.00   211.00
