nm,%R
1120,95.2507
1121,95.2635
1122,95.2763
1123,95.289
1124,95.3017
1125,95.3143
1126,95.3269
1127,95.3395
1128,95.35
1129,95.3602
1130,95.3703
1131,95.3805
1132,95.3906
1133,95.4007
1134,95.4107
1135,95.4207
1136,95.4307
1137,95.4406
1138,95.4506
1139,95.4604
1140,95.4703
1141,95.4801
1142,95.4899
1143,95.4997
1144,95.5094
1145,95.5191
1146,95.5288
1147,95.5384
1148,95.548
1149,95.5576
1150,95.5671
1151,95.5767
1152,95.5861
1153,95.5956
1154,95.605
1155,95.6144
1156,95.6238
1157,95.6331
1158,95.6425
1159,95.6517
1160,95.661
1161,95.6702
1162,95.6794
1163,95.6886
1164,95.6977
1165,95.7069
1166,95.7159
1167,95.725
1168,95.734
1169,95.743
1170,95.752
1171,95.761
1172,95.7699
1173,95.7788
1174,95.7876
1175,95.7965
1176,95.8053
1177,95.8141
1178,95.8228
1179,95.8316
1180,95.8403
1181,95.8489
1182,95.8576
1183,95.8662
1184,95.8748
1185,95.8834
1186,95.892
1187,95.9005
1188,95.909
1189,95.9174
1190,95.9259
1191,95.9343
1192,95.9427
1193,95.9511
1194,95.9594
1195,95.9677
1196,95.976
1197,95.9843
1198,95.9926
1199,96.0008
1200,96.009
