nm,front surface transmssion,substrate transmission,predicted QE (%)
633,78.9075,0.2805,78.627
634,78.8776,0.2961,78.5815
635,78.8479,0.3126,78.5353
636,78.8184,0.3299,78.4885
637,78.7892,0.3481,78.4411
638,78.7602,0.3673,78.3929
639,78.7314,0.3874,78.344
640,78.7024,0.4081,78.2943
641,78.6737,0.4298,78.2439
642,78.6451,0.4525,78.1926
643,78.6168,0.4764,78.1404
644,78.5887,0.5015,78.0872
645,78.5608,0.5278,78.033
646,78.5328,0.5553,77.9775
647,78.504,0.5838,77.9202
648,78.4755,0.6137,77.8618
649,78.4471,0.6451,77.802
650,78.419,0.6779,77.7411
651,78.391,0.7124,77.6786
652,78.3633,0.7484,77.6149
653,78.3355,0.7729,77.5626
654,78.3078,0.7781,77.5297
655,78.2802,0.7833,77.4969
656,78.2529,0.7886,77.4643
657,78.2257,0.7939,77.4318
658,78.1987,0.7991,77.3996
659,78.1719,0.8044,77.3675
660,78.1452,0.8262,77.319
661,78.1187,0.8657,77.253
662,78.0924,0.907,77.1854
663,78.0662,0.9501,77.1161
664,78.0403,0.9951,77.0452
665,78.0145,1.0421,76.9724
666,77.9889,1.0912,76.8977
667,77.9634,1.1421,76.8213
668,77.938,1.1949,76.7431
669,77.9128,1.25,76.6628
670,77.8878,1.3074,76.5804
671,77.863,1.3673,76.4957
672,77.8383,1.4298,76.4085
673,77.8138,1.4949,76.3189
674,77.7892,1.5624,76.2268
675,77.7638,1.6314,76.1324
676,77.7385,1.7032,76.0353
677,77.7133,1.7779,75.9354
678,77.6884,1.8557,75.8327
679,77.6636,1.9366,75.727
680,77.639,2.0209,75.6181
681,77.6145,2.1085,75.506
682,77.5898,2.1349,75.4549
683,77.5652,2.1455,75.4197
684,77.5407,2.1561,75.3846
685,77.5164,2.1667,75.3497
686,77.4922,2.1773,75.3149
687,77.4682,2.188,75.2802
688,77.4443,2.1987,75.2456
689,77.4206,2.2094,75.2112
690,77.397,2.2202,75.1768
691,77.3734,2.2309,75.1425
692,77.3501,2.2417,75.1084
693,77.3269,2.2525,75.0744
694,77.3038,2.2634,75.0404
695,77.2809,2.2742,75.0067
696,77.2582,2.2851,74.9731
697,77.235,2.3351,74.8999
698,77.2115,2.4267,74.7848
699,77.1881,2.5216,74.6665
700,77.1649,2.6199,74.545
701,77.1422,2.7217,74.4205
702,77.1197,2.8272,74.2925
703,77.0973,2.9365,74.1608
704,77.075,3.0497,74.0253
705,77.0533,3.1663,73.887
706,77.0322,3.2863,73.7459
707,77.0113,3.4106,73.6007
708,76.9904,3.5391,73.4513
709,76.9698,3.6722,73.2976
710,76.9492,3.8098,73.1394
711,76.9288,3.9522,72.9766
712,76.9085,4.0995,72.809
713,76.8875,4.1966,72.6909
714,76.8651,4.2125,72.6526
715,76.8429,4.2284,72.6145
716,76.8208,4.2444,72.5764
717,76.7989,4.2603,72.5386
718,76.777,4.2763,72.5007
719,76.7553,4.2923,72.463
720,76.7338,4.3083,72.4255
721,76.7125,4.351,72.3615
722,76.6921,4.5034,72.1887
723,76.6719,4.6607,72.0112
724,76.6518,4.823,71.8288
725,76.6319,4.9906,71.6413
726,76.612,5.1634,71.4486
727,76.5923,5.3417,71.2506
728,76.5727,5.5257,71.047
729,76.5532,5.7155,70.8377
730,76.5329,5.7869,70.746
731,76.5123,5.8058,70.7065
732,76.4918,5.8247,70.6671
733,76.4714,5.8436,70.6278
734,76.4511,5.8626,70.5885
735,76.4309,5.8816,70.5493
736,76.4109,5.9005,70.5104
737,76.391,5.9195,70.4715
738,76.3711,5.9385,70.4326
739,76.3525,6.1309,70.2216
740,76.334,6.3289,70.0051
741,76.3155,6.5327,69.7828
742,76.2972,6.7426,69.5546
743,76.279,6.9586,69.3204
744,76.261,7.1809,69.0801
745,76.243,7.4097,68.8333
746,76.2252,7.6451,68.5801
747,76.2074,7.865,68.3424
748,76.1893,7.8871,68.3022
749,76.1713,7.9091,68.2622
750,76.1534,7.9312,68.2222
751,76.1357,7.9533,68.1824
752,76.118,7.9753,68.1427
753,76.1005,7.9974,68.1031
754,76.083,8.0195,68.0635
755,76.0657,8.0416,68.0241
756,76.0484,8.0637,67.9847
757,76.0297,8.3051,67.7246
758,76.011,8.553,67.458
759,75.9924,8.8076,67.1848
760,75.974,9.0692,66.9048
761,75.9556,9.3378,66.6178
762,75.9373,9.6136,66.3237
763,75.9192,9.8968,66.0224
764,75.9011,10.1876,65.7135
765,75.8831,10.4861,65.397
766,75.8655,10.5946,65.2709
767,75.8482,10.6194,65.2288
768,75.8309,10.6441,65.1868
769,75.8137,10.6689,65.1448
770,75.7966,10.6937,65.1029
771,75.7796,10.7185,65.0611
772,75.7627,10.7433,65.0194
773,75.7459,10.7681,64.9778
774,75.7292,10.7929,64.9363
775,75.7127,10.8446,64.8681
776,75.6972,11.1423,64.5549
777,75.6818,11.4475,64.2343
778,75.6665,11.7602,63.9063
779,75.6513,12.0806,63.5707
780,75.6362,12.4089,63.2273
781,75.6212,12.7452,62.876
782,75.6063,13.0898,62.5165
783,75.5915,13.4427,62.1488
784,75.5768,13.8043,61.7725
785,75.562,14.0708,61.4912
786,75.5469,14.0981,61.4488
787,75.532,14.1254,61.4066
788,75.5171,14.1527,61.3644
789,75.5023,14.18,61.3223
790,75.4876,14.2073,61.2803
791,75.4729,14.2345,61.2384
792,75.4584,14.2618,61.1966
793,75.444,14.2891,61.1549
794,75.4296,14.3163,61.1133
795,75.4154,14.4098,61.0056
796,75.4013,14.7728,60.6285
797,75.3874,15.1441,60.2433
798,75.3736,15.5238,59.8498
799,75.3598,15.912,59.4478
800,75.3462,16.3089,59.0373
801,75.3328,16.7147,58.6181
802,75.3194,17.1296,58.1898
803,75.3062,17.5537,57.7525
804,75.293,17.9873,57.3057
805,75.2799,18.4304,56.8495
806,75.2657,18.5011,56.7646
807,75.2515,18.5298,56.7217
808,75.2373,18.5585,56.6788
809,75.2232,18.5872,56.636
810,75.2092,18.6158,56.5934
811,75.1953,18.6444,56.5509
812,75.1814,18.673,56.5084
813,75.1676,18.7016,56.466
814,75.1539,18.7302,56.4237
815,75.1403,18.7587,56.3816
816,75.1268,18.9071,56.2197
817,75.1134,19.3408,55.7726
818,75.1002,19.7833,55.3169
819,75.087,20.2349,54.8521
820,75.0739,20.6956,54.3783
821,75.0609,21.1657,53.8952
822,75.048,21.6453,53.4027
823,75.0351,22.1345,52.9006
824,75.0223,22.6336,52.3887
825,75.0096,23.1427,51.8669
826,74.9969,23.662,51.3349
827,74.9835,24.048,50.9355
828,74.9689,24.2222,50.7467
829,74.9543,24.3972,50.5571
830,74.9398,24.5731,50.3667
831,74.9254,24.7499,50.1755
832,74.9111,24.9275,49.9836
833,74.8968,25.1059,49.7909
834,74.8826,25.2852,49.5974
835,74.8684,25.4654,49.403
836,74.8543,25.6464,49.2079
837,74.8403,25.8283,49.012
838,74.8264,26.011,48.8154
839,74.8125,26.1946,48.6179
840,74.7986,26.3791,48.4195
841,74.7849,26.5644,48.2205
842,74.7712,26.7506,48.0206
843,74.7576,26.9377,47.8199
844,74.744,27.1256,47.6184
845,74.7305,27.3145,47.416
846,74.7171,27.5041,47.213
847,74.7037,27.6947,47.009
848,74.6904,27.8862,46.8042
849,74.6772,28.0785,46.5987
850,74.664,28.2717,46.3923
851,74.6509,28.4658,46.1851
852,74.6378,28.6607,45.9771
853,74.6249,28.8566,45.7683
854,74.6119,29.0533,45.5586
855,74.5991,29.2509,45.3482
856,74.5862,29.4495,45.1367
857,74.5735,29.6489,44.9246
858,74.5608,29.8492,44.7116
859,74.5482,30.0504,44.4978
860,74.5356,30.2524,44.2832
861,74.5231,30.4554,44.0677
862,74.5107,30.6593,43.8514
863,74.4983,30.8641,43.6342
864,74.486,31.0698,43.4162
865,74.4737,31.2763,43.1974
866,74.4615,31.4838,42.9777
867,74.4493,31.6922,42.7571
868,74.4373,31.9015,42.5358
869,74.4252,32.1117,42.3135
870,74.4132,32.3228,42.0904
871,74.4013,32.5349,41.8664
872,74.3895,32.7478,41.6417
873,74.3777,32.9617,41.416
874,74.3659,33.1764,41.1895
875,74.3542,33.3921,40.9621
876,74.3426,33.6087,40.7339
877,74.331,33.8262,40.5048
878,74.3195,34.0447,40.2748
879,74.308,34.264,40.044
880,74.2966,34.4843,39.8123
881,74.2852,34.7055,39.5797
882,74.2739,34.9277,39.3462
883,74.2627,35.1507,39.112
884,74.2515,35.3747,38.8768
885,74.2403,35.5996,38.6407
886,74.2293,35.8255,38.4038
887,74.2182,36.0522,38.166
888,74.2072,36.2799,37.9273
889,74.1963,36.5086,37.6877
890,74.1854,36.7382,37.4472
891,74.1746,36.9687,37.2059
892,74.1638,37.2002,36.9636
893,74.1531,37.4325,36.7206
894,74.1425,37.6659,36.4766
895,74.1318,37.9002,36.2316
896,74.1213,38.1354,35.9859
897,74.1108,38.3715,35.7393
898,74.1003,38.6087,35.4916
899,74.0899,38.8467,35.2432
900,74.0795,39.0857,34.9938
901,74.0693,39.3257,34.7436
902,74.0591,39.5666,34.4925
903,74.049,39.8085,34.2405
904,74.0389,40.0514,33.9875
905,74.0289,40.2952,33.7337
906,74.0189,40.5399,33.479
907,74.0089,40.7856,33.2233
908,73.999,41.0323,32.9667
909,73.9892,41.2799,32.7093
910,73.9794,41.5285,32.4509
911,73.9697,41.7781,32.1916
912,73.96,42.0286,31.9314
913,73.9503,42.2801,31.6702
914,73.9407,42.5325,31.4082
915,73.9311,42.7859,31.1452
916,73.9216,43.0402,30.8814
917,73.9122,43.2956,30.6166
918,73.9028,43.5519,30.3509
919,73.8934,43.8091,30.0843
920,73.8841,44.0674,29.8167
921,73.8748,44.3266,29.5482
922,73.8655,44.5868,29.2787
923,73.8564,44.8479,29.0085
924,73.8472,45.1101,28.7371
925,73.8381,45.3732,28.4649
926,73.8291,45.6373,28.1918
927,73.8201,45.9023,27.9178
928,73.8111,46.1684,27.6427
929,73.8022,46.4354,27.3668
930,73.7933,46.7034,27.0899
931,73.7845,46.9723,26.8122
932,73.7757,47.2423,26.5334
933,73.767,47.5132,26.2538
934,73.7583,47.7852,25.9731
935,73.7496,48.0581,25.6915
936,73.741,48.332,25.409
937,73.7324,48.6069,25.1255
938,73.7239,48.8828,24.8411
939,73.7154,49.1596,24.5558
940,73.707,49.4375,24.2695
941,73.6986,49.7163,23.9823
942,73.6902,49.9961,23.6941
943,73.6819,50.277,23.4049
944,73.6737,50.5588,23.1149
945,73.6654,50.8416,22.8238
946,73.6572,51.1254,22.5318
947,73.6491,51.4102,22.2389
948,73.641,51.696,21.945
949,73.6329,51.9828,21.6501
950,73.6249,52.2706,21.3543
951,73.6169,52.5594,21.0575
952,73.609,52.8492,20.7598
953,73.6011,53.14,20.4611
954,73.5932,53.4318,20.1614
955,73.5854,53.7246,19.8608
956,73.5776,54.0185,19.5591
957,73.5699,54.3133,19.2566
958,73.5622,54.6091,18.9531
959,73.5545,54.9059,18.6486
960,73.5469,55.2038,18.3431
961,73.5393,55.5026,18.0367
962,73.5318,55.8024,17.7294
963,73.5243,56.1033,17.421
964,73.5168,56.4052,17.1116
965,73.5094,56.708,16.8014
