model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
604,91.9508,0.5066,91.4442
605,92.0403,0.5115,91.5288
606,92.1289,0.5164,91.6125
607,92.2165,0.5213,91.6952
608,92.3033,0.5299,91.7734
609,92.3902,0.5536,91.8366
610,92.476,0.5783,91.8977
611,92.5609,0.604,91.9569
612,92.6448,0.6308,92.014
613,92.7277,0.6586,92.0691
614,92.8095,0.6921,92.1174
615,92.8897,0.7467,92.143
616,92.9689,0.8053,92.1636
617,93.0472,0.8683,92.1789
618,93.1246,0.9359,92.1887
619,93.201,1.0087,92.1923
620,93.2764,1.0795,92.1969
621,93.3509,1.0882,92.2627
622,93.4244,1.0969,92.3275
623,93.497,1.1056,92.3914
624,93.5686,1.1143,92.4543
625,93.6394,1.1231,92.5163
626,93.7092,1.1319,92.5773
627,93.7773,1.2298,92.5475
628,93.8442,1.361,92.4832
629,93.9102,1.5058,92.4044
630,93.9754,1.6654,92.31
631,94.0396,1.8414,92.1982
632,94.1029,2.0352,92.0677
633,94.1654,2.1932,91.9722
634,94.2272,2.2761,91.9511
635,94.288,2.3618,91.9262
636,94.348,2.4504,91.8976
637,94.4071,2.542,91.8651
638,94.4653,2.6367,91.8286
639,94.5227,2.7346,91.7881
640,94.579,2.8335,91.7455
641,94.6344,2.9354,91.699
642,94.689,3.0405,91.6485
643,94.7427,3.1491,91.5936
644,94.7955,3.2612,91.5343
645,94.8476,3.3768,91.4708
646,94.8986,3.4959,91.4027
647,94.9481,3.6175,91.3306
648,94.9968,3.7429,91.2539
649,95.0447,3.8722,91.1725
650,95.0917,4.0055,91.0862
651,95.138,4.1429,90.9951
652,95.1834,4.2846,90.8988
653,95.2277,4.3808,90.8469
654,95.2705,4.4034,90.8671
655,95.3126,4.4261,90.8865
656,95.3539,4.4488,90.9051
657,95.3945,4.4715,90.923
658,95.4343,4.4942,90.9401
659,95.4734,4.5169,90.9565
660,95.512,4.601,90.911
661,95.5503,4.7495,90.8008
662,95.5878,4.9023,90.6855
663,95.6245,5.0594,90.5651
664,95.6606,5.2211,90.4395
665,95.6959,5.3874,90.3085
666,95.7305,5.5585,90.172
667,95.7644,5.7336,90.0308
668,95.7975,5.9122,89.8853
669,95.83,6.0959,89.7341
670,95.8617,6.2846,89.5771
671,95.8927,6.4786,89.4141
672,95.9231,6.6779,89.2452
673,95.9528,6.8827,89.0701
674,95.9816,7.092,88.8896
675,96.0091,7.3029,88.7062
676,96.0359,7.5194,88.5165
677,96.062,7.7416,88.3204
678,96.0875,7.9696,88.1179
679,96.1124,8.2035,87.9089
680,96.1365,8.4436,87.6929
681,96.1601,8.6899,87.4702
682,96.1823,8.7661,87.4162
683,96.2038,8.7989,87.4049
684,96.2246,8.8316,87.393
685,96.2448,8.8643,87.3805
686,96.2645,8.897,87.3675
687,96.2836,8.9297,87.3539
688,96.3022,8.9623,87.3399
689,96.3201,8.995,87.3251
690,96.3373,9.0275,87.3098
691,96.354,9.0601,87.2939
692,96.3701,9.0926,87.2775
693,96.3857,9.1251,87.2606
694,96.4007,9.1576,87.2431
695,96.4151,9.19,87.2251
696,96.429,9.2224,87.2066
697,96.4422,9.3597,87.0825
698,96.4548,9.606,86.8488
699,96.4668,9.858,86.6088
700,96.4783,10.1158,86.3625
701,96.4895,10.3796,86.1099
702,96.5001,10.6494,85.8507
703,96.5103,10.9254,85.5849
704,96.5199,11.2077,85.3122
705,96.5292,11.4948,85.0344
706,96.5383,11.7867,84.7516
707,96.5468,12.0852,84.4616
708,96.5549,12.3903,84.1646
709,96.5624,12.7021,83.8603
710,96.5695,13.0208,83.5487
711,96.5761,13.3465,83.2296
712,96.5822,13.6793,82.9029
713,96.5872,13.8979,82.6893
714,96.5906,13.9362,82.6544
715,96.5937,13.9744,82.6193
716,96.5962,14.0125,82.5837
717,96.5983,14.0506,82.5477
718,96.6,14.0886,82.5114
719,96.6012,14.1266,82.4746
720,96.602,14.1645,82.4375
721,96.6026,14.2607,82.3419
722,96.6034,14.5945,82.0089
723,96.6038,14.935,81.6688
724,96.6037,15.2825,81.3212
725,96.6033,15.6369,80.9664
726,96.6024,15.9986,80.6038
727,96.6011,16.3674,80.2337
728,96.5994,16.7437,79.8557
729,96.5973,17.1275,79.4698
730,96.5941,17.2722,79.3219
731,96.5901,17.3122,79.2779
732,96.5858,17.3521,79.2337
733,96.5811,17.392,79.1891
734,96.576,17.4317,79.1443
735,96.5706,17.4714,79.0992
736,96.5647,17.5109,79.0538
737,96.5586,17.5504,79.0082
738,96.552,17.5898,78.9622
739,96.5459,17.9694,78.5765
740,96.5395,18.356,78.1835
741,96.5327,18.7497,77.783
742,96.5255,19.1508,77.3747
743,96.518,19.5592,76.9588
744,96.5102,19.9751,76.5351
745,96.502,20.3987,76.1033
746,96.4935,20.8299,75.6636
747,96.4846,21.2289,75.2557
748,96.4749,21.2698,75.2051
749,96.465,21.3106,75.1544
750,96.4547,21.3512,75.1035
751,96.4442,21.3918,75.0524
752,96.4333,21.4323,75.001
753,96.4221,21.4726,74.9495
754,96.4106,21.5129,74.8977
755,96.3989,21.553,74.8459
756,96.3868,21.5931,74.7937
757,96.3737,22.0225,74.3512
758,96.3603,22.4591,73.9012
759,96.3466,22.9032,73.4434
760,96.3326,23.3548,72.9778
761,96.3183,23.8139,72.5044
762,96.3038,24.2808,72.023
763,96.2889,24.7555,71.5334
764,96.2738,25.2381,71.0357
765,96.2585,25.7287,70.5298
766,96.2429,25.9056,70.3373
767,96.2271,25.9457,70.2814
768,96.211,25.9857,70.2253
769,96.1947,26.0256,70.1691
770,96.1782,26.0653,70.1129
771,96.1614,26.1049,70.0565
772,96.1445,26.1445,70
773,96.1272,26.1838,69.9434
774,96.1098,26.2231,69.8867
775,96.0922,26.3058,69.7864
776,96.0749,26.784,69.2909
777,96.0575,27.2695,68.788
778,96.0398,27.7624,68.2774
779,96.0218,28.2629,67.7589
780,96.0037,28.771,67.2327
781,95.9853,29.2869,66.6984
782,95.9667,29.8105,66.1562
783,95.9479,30.3421,65.6058
784,95.9289,30.8816,65.0473
785,95.9096,31.2756,64.634
786,95.8898,31.3138,64.576
787,95.8699,31.3518,64.5181
788,95.8497,31.3897,64.46
789,95.8293,31.4274,64.4019
790,95.8088,31.4651,64.3437
791,95.788,31.5026,64.2854
792,95.7671,31.54,64.2271
793,95.746,31.5772,64.1688
794,95.7247,31.6143,64.1104
795,95.7033,31.7486,63.9547
796,95.6817,32.2764,63.4053
797,95.66,32.8116,62.8484
798,95.6381,33.3541,62.284
799,95.616,33.9042,61.7118
800,95.5938,34.4618,61.132
801,95.5716,35.0272,60.5444
802,95.5493,35.6004,59.9489
803,95.5268,36.1814,59.3454
804,95.5042,36.7703,58.7339
805,95.4814,37.3672,58.1142
806,95.4578,37.4581,57.9997
807,95.434,37.4922,57.9418
808,95.41,37.5261,57.8839
809,95.3858,37.5599,57.8259
810,95.3616,37.5936,57.768
811,95.3372,37.6271,57.7101
812,95.3126,37.6605,57.6521
813,95.2879,37.6938,57.5941
814,95.2631,37.727,57.5361
815,95.2382,37.76,57.4782
816,95.2132,37.9534,57.2598
817,95.188,38.5259,56.6621
818,95.1628,39.1056,56.0572
819,95.1375,39.6925,55.445
820,95.112,40.2866,54.8254
821,95.0864,40.8881,54.1983
822,95.0607,41.497,53.5637
823,95.035,42.1134,52.9216
824,95.0091,42.7373,52.2718
825,94.9831,43.3689,51.6142
826,94.957,44.0081,50.9489
827,94.9303,44.4782,50.4521
828,94.9028,44.6856,50.2172
829,94.8752,44.8934,49.9818
830,94.8475,45.1015,49.746
831,94.8197,45.3101,49.5096
832,94.7918,45.519,49.2728
833,94.7638,45.7283,49.0355
834,94.7357,45.9379,48.7978
835,94.7075,46.1479,48.5596
836,94.6792,46.3583,48.3209
837,94.6509,46.5691,48.0818
838,94.6224,46.7802,47.8422
839,94.5938,46.9917,47.6021
840,94.5652,47.2036,47.3616
841,94.5365,47.4159,47.1206
842,94.5076,47.6285,46.8791
843,94.4787,47.8414,46.6373
844,94.4498,48.0548,46.395
845,94.4207,48.2685,46.1522
846,94.3916,48.4825,45.9091
847,94.3624,48.697,45.6654
848,94.3331,48.9117,45.4214
849,94.3037,49.1269,45.1768
850,94.2743,49.3424,44.9319
851,94.2447,49.5582,44.6865
852,94.2151,49.7744,44.4407
853,94.1854,49.9909,44.1945
854,94.1557,50.2078,43.9479
855,94.1259,50.4251,43.7008
856,94.096,50.6427,43.4533
857,94.0661,50.8607,43.2054
858,94.0361,51.079,42.9571
859,94.006,51.2976,42.7084
860,93.9759,51.5166,42.4593
861,93.9458,51.736,42.2098
862,93.9156,51.9557,41.9599
863,93.8853,52.1758,41.7095
864,93.855,52.3962,41.4588
865,93.8246,52.6169,41.2077
866,93.7942,52.838,40.9562
867,93.7637,53.0594,40.7043
868,93.7332,53.2812,40.452
869,93.7027,53.5033,40.1994
870,93.6721,53.7258,39.9463
871,93.6414,53.9486,39.6928
872,93.6107,54.1718,39.4389
873,93.58,54.3952,39.1848
874,93.5492,54.6191,38.9301
875,93.5185,54.8432,38.6753
876,93.4876,55.0677,38.4199
877,93.4567,55.2925,38.1642
878,93.4258,55.5177,37.9081
879,93.3949,55.7432,37.6517
880,93.364,55.969,37.395
881,93.333,56.1952,37.1378
882,93.3021,56.4218,36.8803
883,93.2711,56.6486,36.6225
884,93.2401,56.8758,36.3643
885,93.209,57.1033,36.1057
886,93.178,57.3312,35.8468
887,93.1469,57.5594,35.5875
