sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
 523  53   23.59 448.81   16.00   1   2   2   3  0.98
  63  23   23.65 629.05   49.05   1   2   2   2  0.93
  34  60   24.13 199.39   40.70   3   5   6   7  0.91
 275  52   24.54 232.05   42.94   3   6   6   9  0.93
 524  71   24.73 480.49   75.92   1   1   1   3  0.91
  43   7   24.78 267.55   13.65   1   1   1   3  0.95
 347  84   24.91 181.23   18.32   1   2   2   3  0.97
 304  76   25.12 221.33   22.33   2   2   3   3  0.96
 425  52   25.17 348.52   16.15   1   2   2   3  0.97
 201  48   25.22 152.55   11.07   1   1   1   2  0.95
 116  57   25.33 541.18   12.18   1   1   2   3  0.99
 501  81   25.93 201.98   64.29   2   3   3   9  0.92
   1  32   26.17 565.84   29.38   2   2   2   4  0.91
 491  74   26.26 257.52   19.50   1   2   2   3  0.97
 251  45   26.44 190.44   24.98   2   2   3   4  0.97
 555  89   26.92 395.73  176.48   1   1   1   3  0.96
 408  78   27.33 290.82   12.08   1   1   1   2  0.92
 493  31   28.31 471.25   12.64   1   1   1   2  0.92
 334  86   28.43 141.20   44.28   3   4   6   8  0.92
 131  51   28.45 426.45   50.63   1   1   1   2  0.91
 490  28   28.70 172.52  158.48   3   4   5   8  0.90
  57  56   28.74 417.87   16.63   1   1   1   2  0.90
 548  48   28.94 253.68   25.63   2   2   3   3  0.90
 179  22   29.11 431.52   13.17   1   1   2   3  0.97
  19  85   29.24 469.70   12.94   1   1   1   2  0.93
 375  59   29.45 499.51   93.93   1   1   1   3  0.92
 572  65   30.51 258.65   19.16   1   2   2   3  0.95
 302  54   30.71 373.96   15.63   1   2   2   3  0.97
  62  62   31.02 352.66   27.91   3   3   4   6  0.97
 205  17   31.23 164.89   32.78   3   3   4   7  0.90
 111  16   33.27 376.57   37.06   1   1   1   5  0.95
 465  53   33.35 294.84   27.69   1   1   1   3  0.92
 570  30   33.54 521.72   17.43   1   1   2   4  0.95
 234  45   33.75 566.68   78.72   1   1   2   3  0.92
 140  27   35.02 232.79   20.08   2   2   3   3  0.94
 472  17   35.20  92.77   54.54   5   7   9  12  0.94
  22   2   35.44  78.95   42.15   4   4   5   9  0.92
 404  82   36.68 440.71   12.62   1   1   2   3  0.93
 354  64   36.70 170.99   12.81   1   2   2   3  0.95
 203  75   37.12 421.05   11.98   1   1   2   3  0.94
  88  70   37.59 252.32   20.94   2   2   3   5  0.98
 574  48   37.60 298.14   23.95   1   2   2   3  0.92
 144  13   37.61 144.27   23.73   2   2   3   3  0.94
 135  53   37.77 432.05   12.12   1   1   2   3  0.94
 264   9   38.05 174.81   18.82   2   2   3   3  0.96
 547  35   38.23 274.50  104.29   1   2   2   4  0.91
 222  75   38.65 400.70   10.73   1   1   2   2   3  0.93
 188  71   38.89 336.25   12.80   7   2   2   3   3  0.93
 560  74   39.51  47.64   37.28   4   4   6   6   9  0.92
 401  38   39.56 130.19   16.81   4   2   3   3   4  0.91
 244  84   39.81 268.20    6.10  16   1   1   1   4  0.91
 442  88   39.96 318.01   15.50   4   1   2   3   3  0.94
 177  64   40.70 331.96   10.03   7   1   2   2   4  0.96
 227  89   41.31 259.41   14.95   2   2   2   2   3  0.93
 479  18   41.82 338.61   12.22   1   2   2   3   4  0.96
 578  48   41.88 415.26   17.66   2   2   3   3   3  0.93
