260 to 300 nm band,
,
nm,%T
853,0.0139
854,0.0141
855,0.0143
856,0.0145
857,0.0147
858,0.015
859,0.0152
860,0.0154
861,0.0157
862,0.0159
863,0.0162
864,0.0164
865,0.0167
866,0.0169
867,0.0172
868,0.0175
869,0.0177
870,0.018
871,0.0183
872,0.0185
873,0.0188
874,0.0191
875,0.0194
876,0.0197
877,0.02
878,0.0203
879,0.0206
880,0.0209
881,0.0212
882,0.0215
883,0.0219
884,0.0222
885,0.0225
886,0.0228
887,0.0229
888,0.023
889,0.0231
890,0.0232
891,0.0233
892,0.0234
893,0.0235
894,0.0236
895,0.0237
896,0.0239
897,0.024
898,0.0241
899,0.0242
900,0.0243
901,0.0244
902,0.0245
903,0.0246
904,0.0247
905,0.0248
906,0.0249
907,0.0251
908,0.0252
909,0.0253
910,0.0254
911,0.0255
912,0.0256
913,0.0256
914,0.0256
915,0.0256
916,0.0255
917,0.0255
918,0.0255
919,0.0255
920,0.0255
921,0.0255
922,0.0255
923,0.0255
924,0.0255
925,0.0255
926,0.0255
927,0.0255
928,0.0255
929,0.0255
930,0.0254
931,0.0254
932,0.0254
933,0.0254
934,0.0254
935,0.0254
936,0.0254
937,0.0254
938,0.0254
939,0.0253
940,0.0252
941,0.025
942,0.0247
943,0.0245
944,0.0243
945,0.0241
946,0.0239
947,0.0237
948,0.0235
949,0.0233
950,0.023
951,0.0228
952,0.0226
953,0.0224
954,0.0222
955,0.022
956,0.0219
957,0.0217
958,0.0215
959,0.0213
960,0.0211
961,0.0209
962,0.0207
963,0.0205
964,0.0204
965,0.0202
966,0.02
967,0.0198
968,0.0196
969,0.0195
970,0.0193
971,0.0192
972,0.019
973,0.0189
974,0.0187
975,0.0186
976,0.0184
977,0.0183
978,0.0182
979,0.018
980,0.0179
981,0.0177
982,0.0176
983,0.0175
984,0.0173
985,0.0172
986,0.0171
987,0.0169
988,0.0168
989,0.0167
990,0.0166
991,0.0164
992,0.0163
993,0.0162
994,0.016
995,0.0159
996,0.0158
997,0.0157
998,0.0156
999,0.0154
1000,0.0153
1001,0.0152
1002,0.0152
1003,0.0151
1004,0.015
1005,0.0149
1006,0.0148
1007,0.0147
1008,0.0146
1009,0.0146
1010,0.0145
1011,0.0144
1012,0.0143
1013,0.0142
1014,0.0142
1015,0.0141
1016,0.014
1017,0.0139
1018,0.0138
1019,0.0138
1020,0.0137
1021,0.0136
1022,0.0135
1023,0.0135
1024,0.0134
1025,0.0133
1026,0.0132
1027,0.0132
1028,0.0131
1029,0.013
1030,0.0129
1031,0.0129
1032,0.0128
1033,0.0127
1034,0.0127
1035,0.0126
1036,0.0125
1037,0.0125
1038,0.0124
1039,0.0123
1040,0.0123
1041,0.0122
1042,0.0121
1043,0.0121
1044,0.012
1045,0.012
1046,0.0119
1047,0.0118
1048,0.0118
1049,0.0117
1050,0.0116
1051,0.0116
1052,0.0115
1053,0.0115
1054,0.0114
1055,0.0114
1056,0.0113
1057,0.0112
1058,0.0112
1059,0.0111
1060,0.0111
1061,0.011
1062,0.011
1063,0.0109
1064,0.0108
1065,0.0108
1066,0.0107
1067,0.0107
1068,0.0106
1069,0.0106
1070,0.0105
1071,0.0105
1072,0.0104
1073,0.0104
1074,0.0103
1075,0.0103
1076,0.0102
1077,0.0101
1078,0.0101
1079,0.01
1080,0.01
1081,0.0099
1082,0.0099
1083,0.0098
1084,0.0098
1085,0.0097
1086,0.0097
1087,0.0097
1088,0.0096
1089,0.0096
1090,0.0095
1091,0.0095
1092,0.0094
1093,0.0094
1094,0.0093
1095,0.0093
1096,0.0092
1097,0.0092
1098,0.0091
1099,0.0091
1100,0.009
