nm,front surface transmssion,substrate transmission,predicted QE (%)
513,70.0696,0,70.0696
514,70.0749,0,70.0749
515,70.0804,0,70.0804
516,70.0862,0,70.0862
517,70.0901,0,70.0901
518,70.0911,0,70.0911
519,70.0924,0,70.0924
520,70.0938,0,70.0938
521,70.0955,0,70.0955
522,70.0968,0,70.0968
523,70.0984,0,70.0984
524,70.1002,0,70.1002
525,70.1022,0,70.1022
526,70.0999,0,70.0999
527,70.0948,0,70.0948
528,70.09,0,70.09
529,70.0853,0,70.0853
530,70.082,0,70.082
531,70.0896,0,70.0896
532,70.0973,0,70.0973
533,70.1053,0,70.1053
534,70.1135,0,70.1135
535,70.1193,0,70.1193
536,70.1236,0,70.1236
537,70.128,0,70.128
538,70.1327,0,70.1327
539,70.1375,0,70.1375
540,70.1377,0,70.1377
541,70.1375,0,70.1375
542,70.1374,0,70.1374
543,70.1376,0,70.1376
544,70.1385,0,70.1385
545,70.1416,0,70.1416
546,70.1449,0,70.1449
547,70.1484,0,70.1484
548,70.1521,0,70.1521
549,70.1514,0,70.1514
550,70.1441,0.0001,70.144
551,70.1369,0.0002,70.1367
552,70.1299,0.0004,70.1295
553,70.123,0.0008,70.1222
554,70.1229,0.0011,70.1218
555,70.1294,0.0007,70.1287
556,70.1361,0.0005,70.1356
557,70.143,0.0003,70.1427
558,70.15,0.0002,70.1498
559,70.1517,0.0002,70.1515
560,70.148,0.0004,70.1476
561,70.1446,0.0005,70.1441
562,70.1413,0.0008,70.1405
563,70.1381,0.0012,70.1369
564,70.1381,0.0015,70.1366
565,70.1428,0.0013,70.1415
566,70.1477,0.0012,70.1465
567,70.1527,0.0011,70.1516
568,70.1579,0.001,70.1569
569,70.1607,0.001,70.1597
570,70.1577,0.0013,70.1564
571,70.1548,0.0017,70.1531
572,70.1521,0.0022,70.1499
573,70.1495,0.0028,70.1467
574,70.147,0.0037,70.1433
575,70.1467,0.0045,70.1422
576,70.1465,0.0055,70.141
577,70.1465,0.0067,70.1398
578,70.1466,0.0082,70.1384
579,70.1468,0.0099,70.1369
580,70.1487,0.0097,70.139
581,70.1517,0.0083,70.1434
582,70.1549,0.007,70.1479
583,70.1582,0.0059,70.1523
584,70.1616,0.005,70.1566
585,70.1646,0.0044,70.1602
586,70.1654,0.0045,70.1609
